"ip_address","ip_prefix","application_id"
"5.149.250.53",32,163
"5.149.250.164",32,163
"5.149.254.109",32,163
"5.149.254.114",32,163
"5.150.204.149",32,163
"5.150.213.244",32,163
"5.150.222.154",32,163
"5.150.239.136",32,163
"5.164.240.201",32,163
"5.166.221.194",32,163
"5.167.45.88",32,163
"5.167.108.83",32,163
"5.167.145.149",32,163
"5.172.140.193",32,163
"5.175.113.76",32,163
"5.175.193.122",32,163
"5.175.194.69",32,163
"5.178.86.220",32,163
"5.189.130.187",32,163
"5.189.135.56",32,163
"5.196.0.123",32,163
"5.196.1.129",32,163
"5.196.4.208",32,163
"5.196.10.150",32,163
"5.196.11.208",32,163
"5.196.12.79",32,163
"5.196.12.156",32,163
"5.196.12.159",32,163
"5.196.13.26",32,163
"5.196.14.51",32,163
"5.196.14.234",32,163
"5.196.20.5",32,163
"5.196.20.85",32,163
"5.196.26.198",32,163
"5.196.65.52",32,163
"5.196.65.233",32,163
"5.196.66.109",32,163
"5.196.105.229",32,163
"5.196.196.168",32,163
"5.196.227.161",32,163
"5.196.229.29",32,163
"5.199.129.129",32,163
"5.199.130.188",32,163
"5.199.133.193",32,163
"5.199.142.93",32,163
"5.199.142.124",32,163
"5.199.142.195",32,163
"5.199.142.230",32,163
"5.199.142.236",32,163
"5.199.162.8",32,163
"5.199.165.27",32,163
"5.199.166.33",32,163
"5.199.167.138",32,163
"5.228.97.138",32,163
"5.228.204.134",32,163
"5.246.103.74",32,163
"5.249.31.0",32,163
"5.249.150.118",32,163
"5.254.129.138",32,163
"5.255.87.169",32,163
"5.255.87.213",32,163
"8.28.87.108",32,163
"12.132.93.144",32,163
"14.32.88.74",32,163
"14.162.175.201",32,163
"14.199.113.179",32,163
"14.202.224.251",32,163
"14.202.224.251",32,163
"15.126.243.36",32,163
"18.82.3.136",32,163
"18.82.3.196",32,163
"18.82.3.205",32,163
"18.125.1.222",32,163
"18.181.5.28",32,163
"18.181.5.37",32,163
"18.187.1.68",32,163
"18.189.71.145",32,163
"18.228.0.188",32,163
"18.238.1.85",32,163
"18.238.2.85",32,163
"18.239.0.140",32,163
"18.239.0.155",32,163
"18.243.0.30",32,163
"23.21.154.194",32,163
"23.22.33.67",32,163
"23.25.135.9",32,163
"23.80.226.4",32,163
"23.88.232.5",32,163
"23.91.21.229",32,163
"23.91.66.11",32,163
"23.92.19.8",32,163
"23.92.20.77",32,163
"23.92.21.74",32,163
"23.92.26.114",32,163
"23.92.220.85",32,163
"23.94.27.227",32,163
"23.94.43.76",32,163
"23.94.63.162",32,163
"23.94.101.149",32,163
"23.94.215.35",32,163
"23.95.9.47",32,163
"23.95.38.135",32,163
"23.95.38.160",32,163
"23.95.39.161",32,163
"23.95.43.29",32,163
"23.95.43.73",32,163
"23.95.43.75",32,163
"23.95.43.76",32,163
"23.95.43.77",32,163
"23.95.43.82",32,163
"23.95.110.65",32,163
"23.95.111.80",32,163
"23.95.112.192",32,163
"23.99.81.76",32,163
"23.102.160.46",32,163
"23.122.141.0",32,163
"23.226.131.175",32,163
"23.226.132.132",32,163
"23.233.65.100",32,163
"23.233.107.120",32,163
"23.238.17.229",32,163
"23.238.230.54",32,163
"23.239.4.94",32,163
"23.239.5.144",32,163
"23.239.10.144",32,163
"23.239.19.120",32,163
"23.239.19.120",32,163
"23.239.19.153",32,163
"23.239.27.28",32,163
"23.239.29.65",32,163
"23.239.29.65",32,163
"23.239.29.226",32,163
